Пакет,Уязвимость,Оперативное обновление
bind9,CVE-2020-8625,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
bind9,CVE-2021-25214,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
bind9,CVE-2021-25215,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
bind9,CVE-2021-25216,БЮЛЛЕТЕНЬ №2021-1126SE17 (1.7.1)
bind9,CVE-2021-25219,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
bind9,CVE-2021-25220,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
bind9,CVE-2023-2828,БЮЛЛЕТЕНЬ №2023-1023SE17 (1.7.5)
binutils,CVE-2018-1000876,БЮЛЛЕТЕНЬ №2023-0303SE17MD (1.7.3.UU.2)
binutils,CVE-2018-12697,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
binutils,CVE-2018-12698,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
binutils,CVE-2018-12934,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
binutils,CVE-2018-18483,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
binutils,CVE-2018-19931,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
binutils,CVE-2019-9070,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
binutils,CVE-2019-9071,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
binutils,CVE-2019-9075,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
binutils,CVE-2019-9077,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
binutils,CVE-2020-16592,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
binutils,CVE-2021-3487,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
binutils,CVE-2021-45078,БЮЛЛЕТЕНЬ №2023-0303SE17MD (1.7.3.UU.2)
binutils,CVE-2022-38533,БЮЛЛЕТЕНЬ №2023-0630SE17MD (1.7.4.UU.1)
blender,CVE-2022-0544,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
blender,CVE-2022-0545,БЮЛЛЕТЕНЬ №2022-0819SE17 (1.7.2)
